name,country,order,centroid_lat,centroid_lon,website,fb_group,fb_page
Step Slackliners Armenia,AM,Yerevan,40.17918,44.4991,,https://www.facebook.com/groups/stepslackers/,https://www.facebook.com/armeniaslackline/
Slackline Sydney,AU,Sydney,-33.86882,151.2093,,https://www.facebook.com/groups/SlacklineSydney/,
The Bondi Slackliners,AU,Sydney Bondi,-33.89148,151.2767,,https://www.facebook.com/groups/172249732969223/,
Camden fire twirling + slackline community,AU,Campbelltown,-34.065,150.8142,,https://www.facebook.com/groups/502982613083936/,
Slackline Wollongong,AU,Wollongong,-34.42781,150.8931,,https://www.facebook.com/groups/889032734481958/,
Slackline Brisbane,AU,Brisbane,-27.46977,153.0251,,https://www.facebook.com/groups/slacklinebrisbane/,
Slackline Gold Coast,AU,Gold Coast,-28.01667,153.4,,https://www.facebook.com/groups/slacklinegoldcoast/,
Slackline Tasmania,AU,Tasmania,-41.45452,145.9707,,https://www.facebook.com/groups/1712851322261180/,
Slackline Melbourne,AU,Melbourne,-37.81361,144.9631,,https://www.facebook.com/groups/slacklinemelbourne/,
Slackline Perth,AU,Perth,-31.95053,115.8605,,https://www.facebook.com/groups/202879596433035/,
Slackline Canberra,AU,Canberra,-35.28094,149.13,,https://www.facebook.com/groups/SlacklineCanberra,https://www.facebook.com/slacklifecanberra/
Highline: Mount Arapiles,AU,Mount Arapiles,-36.75222,141.8347,,https://www.facebook.com/groups/203915803308830/,
Tiroliners - Slacklinen in Tirol,AT,Innsbruck,47.26921,11.4041,,,https://www.facebook.com/Tiroliners
Vienna Slackliners,AT,Vienna,48.20818,16.37382,http://www.vienna-slackliners.at/,,https://www.facebook.com/viennaslackliners/
BeSlack,BE,Brussels,50.85034,4.35171,,,https://www.facebook.com/BeSlackASBL/
Slack-in Liege,BE,Liege,50.63256,5.579666,,https://www.facebook.com/groups/325253400861405/,
slackline & slack rope group Mechelen,BE,Mechelen,51.02588,4.477536,,https://www.facebook.com/groups/1464792160430921/,
Slack-Leuven,BE,Leuven,50.87984,4.700518,,https://www.facebook.com/groups/1514284422184421/,
Slacklining Bulgaria,BG,,42.73369,25.486,,https://www.facebook.com/groups/SlackliningBulgaria/,
Slackline Sarajevo,BA,Sarajevo,43.85626,18.41308,,https://www.facebook.com/groups/slacklinesarajevo/,
Pico do Highline,BR,,-14.235,-51.92528,,https://www.facebook.com/groups/picohighline/,
Bow Valley Slackliners,CA,Calgary,51.04861,-114.0708,,https://www.facebook.com/groups/1704716063086566/,
Slackling in Vancouver,CA,Vancouver,49.28273,-123.1207,,https://www.facebook.com/groups/slacklinevancouver/,
SlackLifeBC,CA,British Columbia,52.90745,-126.3183,,,https://www.facebook.com/SlacklifeBC/
Toronto Slackline,CA,Toronto,43.65322,-79.38319,,https://www.facebook.com/groups/torontoslackline/,
Saskatoon Slackline,CA,Saskatoon,52.13321,-106.67,,https://www.facebook.com/groups/207564845928191/,
Slackline Québec,CA,Québec,52.93991,-73.54913,,https://www.facebook.com/groups/200606890035367/,
Slackline Montréal,CA,Montréal,45.50169,-73.56725,,,https://www.facebook.com/slacklinemontreal/
Slackline Chile,CL,,-35.27406,-71.11222,,,https://www.facebook.com/slacklineenchile/
Federación de Slackline Chile - Feslach,CL,,-35.27406,-71.11222,,,https://www.facebook.com/feslach/
Sanbekaliners Slackline Chile,CL,,-35.27406,-71.11222,,,https://www.facebook.com/sanbekaliners/
Slackline Rijeka,HR,Rijeka,45.32706,14.44218,,https://www.facebook.com/groups/slacklinerijeka/,
Slackline Zagreb,HR,Zagreb,45.81501,15.98192,,https://www.facebook.com/groups/Slackline.Zagreb/,
Slackline Aarhus,DK,Aarhus,56.16294,10.20392,,https://www.facebook.com/groups/113988152063715/,
Slackline CPH,DK,Copenhagen,55.6761,12.56834,,https://www.facebook.com/groups/SlacklineCopenhagen/,
Slackline Jyväskylä,FI,Jyväskylä,62.2426,25.74726,,https://www.facebook.com/groups/368158279998301,
Riviera Slack,FR,Nice,43.71017,7.261953,,https://www.facebook.com/groups/rs06paca/,
Slack de Noeuds,FR,Belfort,47.63968,6.863849,,,https://www.facebook.com/slackdenoeuds
Slackline à Aix en Provence,FR,Aix en Provence,43.52974,5.447427,,https://www.facebook.com/groups/slack.aix/,
Tous en Sangle,FR,Bordeaux,44.83779,-0.57918,,https://www.facebook.com/groups/232288370151449/,
Slack Dijon Spot,FR,Dijon,47.32205,5.04148,,https://www.facebook.com/groups/405413522889704/,
Vosges'en slack,FR,Epinal,48.1724,6.449403,,https://www.facebook.com/groups/133342003532246/?qsefr=1,
C'est slack...er bon,FR,Grenoble,45.18853,5.724524,,https://www.facebook.com/groups/cestslackerbon,
Ekilibre Lyon,FR,Lyon,45.76404,4.835659,,https://www.facebook.com/groups/201435976681307,
Les Mous de la Sangle,FR,Montpellier,43.61077,3.876716,,https://www.facebook.com/groups/328188467234981/,
Les Têtes à Slack,FR,Alpes Maritimes,43.94668,7.179026,,https://www.facebook.com/groups/tetes.a.slack/,
Ata slack,FR,Nice,43.71017,7.261953,,https://www.facebook.com/groups/1435437663374880/,
Parislack,FR,Paris,48.85661,2.352222,,https://www.facebook.com/groups/137606633030898/,
Sainté Slack,FR,Saint Etienne,45.43969,4.387178,,https://www.facebook.com/groups/175570982640756/,
Slack Alsace,FR,Strasbourg,48.57341,7.752111,,https://www.facebook.com/groups/Slack67/,
Ekilibre Valence,FR,Valence,44.93339,4.89236,,https://www.facebook.com/groups/495533763795628,
Slackline Aachen,DE,Aachen,50.77534,6.083887,,https://www.facebook.com/groups/201146073334128/,
Jonglage & Slackline Bamberg,DE,Bamberg,49.89882,10.90276,,https://www.facebook.com/groups/631601793555785/,
Slackline Berlin,DE,Berlin,52.52001,13.40495,,https://www.facebook.com/groups/150095688337531,https://www.facebook.com/Slackline-Berlin-157161467710235/
Slackline Brandenburg,DE,Brandenburg,52.13139,13.21625,,,https://www.facebook.com/slackline.brandenburg
Slackline Darmstadt,DE,Darmstadt,49.87283,8.651193,,https://www.facebook.com/groups/480206155328380/,
Slackline Queenstown,NZ,,-40.90056,174.886,,https://www.facebook.com/groups/439915126178902,
Slackline Dresden,DE,Dresden,51.05041,13.73726,,https://www.facebook.com/groups/323137751049472/,
Slackliners Dortmund und co.,DE,Dortmund,51.51359,7.465298,,https://www.facebook.com/groups/slacklinersdortmund/,
Slackline Düsseldorf,DE,Düsseldorf,51.22774,6.773456,,https://www.facebook.com/groups/436358436416648/,
Slacklining-Erfurt,DE,Erfurt,50.98477,11.02988,,https://www.facebook.com/groups/309022709193778/,
Slackline Frankfurt,DE,Frankfurt,50.11092,8.682127,,https://www.facebook.com/groups/198934043474400/,
Slackline Hamburg,DE,Hamburg,53.55109,9.993682,,,https://www.facebook.com/groups/slacklinehamburg
Slackline Hannover,DE,Hanover,52.37589,9.732011,,https://www.facebook.com/groups/slacklineh/,
Slackline Kaiserslautern,DE,Kaiserslautern,49.44007,7.749126,,https://www.facebook.com/groups/263730867035814/,
Slackline Karlsruhe,DE,Karlsruhe,49.00689,8.403653,,https://www.facebook.com/groups/slacklineKA,
Slackline kassel,DE,Kassel,51.31271,9.479746,,,https://www.facebook.com/slacklinekultur/
Slackline Kiel,DE,Kiel,54.32329,10.12277,,https://www.facebook.com/groups/155016904549721/,
Slackline Cologne,DE,Köln,50.93753,6.960279,,https://www.facebook.com/groups/138597742875164/,
Slackline Koblenz,DE,Koblenz,50.35694,7.588996,,https://www.facebook.com/groups/169935113136940/,
Konstanz Slackt,DE,Konstanz,47.67795,9.173239,,,https://www.facebook.com/KonstanzSlackteV/
Slackline Leipzig,DE,Leipzig,51.33969,12.37307,,https://www.facebook.com/groups/slackline.leipzig/,
Slacklining Magdeburg,DE,Magdeburg,52.12053,11.62762,,https://www.facebook.com/groups/365180743562234/,
Slackline Mainz,DE,Mainz,49.99286,8.247252,,https://www.facebook.com/groups/206074009533483/,
Slackline - München,DE,Munich,48.13512,11.58198,,https://www.facebook.com/groups/slackinmunich/,
Slackline-Freunde Münster,DE,Münster,51.96067,7.626135,,https://www.facebook.com/groups/180792365375036/,
Slackline Nürnberg,DE,Nuremberg,49.42541,11.07966,,https://www.facebook.com/groups/slacklinenuernberg/,
Slackline Potsdam,DE,Potsdam,52.39057,13.06447,,https://www.facebook.com/groups/197476966960843/,
Slackline in and arround Rosenheim,DE,Rosenheim,47.85713,12.1181,,https://www.facebook.com/groups/253394011348823/,
Slackliner Regensburg,DE,Regensburg,49.01343,12.10162,,https://www.facebook.com/groups/290871314338969,
Slackline Rostock,DE,Rostock,54.09244,12.09915,,https://www.facebook.com/groups/223268554548132,
