Country/State,City/Region,Group Name,Link,Latitude,Longitude,Merged?,Map Link
ALBANIA,Countrywide,Slackline Albania,https://www.facebook.com/SlacklineAlbania/,40.901968,20.104291,No,"https://www.google.com/maps/@41.131181,17.8460384,7z"
ANDORRA,Countrywide,Slackline y Escalada Andorra,https://www.facebook.com/groups/267921633656258,42.541483,1.571859,No,"https://www.google.com/maps/@42.5753822,1.3829411,10.26z"
ARGENTINA,Countrywide,Slackline Argentina,https://www.facebook.com/groups/35689976544/,-34.536119,-65.190669,Yes,"https://www.google.com/maps/@-34.536119,-65.190669,14.15z"
,Countrywide,Highline Argentina,https://www.facebook.com/groups/260563367442328/,-35.50260246,-64.0329388,No,"https://www.google.com/maps/@-35.502602464167275,-64.03293879561043,15z"
,Buenos Aires,Asociacion Slackline Buenos Aires,https://www.facebook.com/groups/190245777701831/,-34.596383,-58.422199,No,"https://www.google.com/maps/@--34.596383,-58.422199,11.27z"
,Buenos Aires,CUBA Slackline Club Universitario de Buenos Aires,https://www.facebook.com/groups/642803799170087/,-34.596826,-58.377654,No,"https://www.google.com/maps/@-34.596826,-58.377654,11.27z"
,Buenos Aires,Los Locos De La Cinta,https://www.facebook.com/groups/slacklinebuenosaires/about/,-34.634897,-58.368471,No,"https://www.google.com/maps/@-34.634897,-58.368471,11.27z"
,Buenos Aires,Slackliners Buenos Aires Argentina,https://www.facebook.com/groups/668404283270421/,-34.642443,-58.405603,No,"https://www.google.com/maps/@-34.642443,-58.405603,11.27z"
,Buenos Aires,Slackline Conurbano Sur,https://www.facebook.com/groups/1424585264281955/,-34.658441,-58.484454,No,"https://www.google.com/maps/@-34.6607927,-58.5044532,11.27z"
,Cipolletti,SentiSlackline Cipolletti,https://www.facebook.com/pg/SlacklineCipolletti/,-38.939892,-67.995678,No,"https://www.google.com/maps/@-40.1563413,-71.3632073,14.15z"
,Comodoro Rivadavia,Slackline sur (Comodoro Rivadavia/Rada Tilly),https://www.facebook.com/groups/423104901153463/,-45.85513,-67.490914,No,"https://www.google.com/maps/place/Comodoro+Rivadavia,+Chubut+Province,+Argentina/@-45.85513,-67.4931027,17z/data=!4m5!3m4!1s0xbde4544de04824f5:0x5d9f7f8e3bb8ee4b!8m2!3d-45.8656149!4d-67.4822429"
,Concordia,Slackline Concordia,https://www.facebook.com/groups/384574158405082/,-31.385003,-58.014449,No,"https://www.google.com/maps/@-31.376438,-58.0705178,12.58z"
,Cordoba,Asociacion de Slackline Córdoba,www.facebook.com/groups/1913347745606937/,-31.414595,-64.188875,No,"https://www.google.com/maps/@--31.414595,-64.188875,12.93z"
,Cordoba,Patos Slackers (Cordoba slackline),https://www.facebook.com/groups/cuackslack/,-31.426164,-64.202785,Yes,"https://www.google.com/maps/@-31.426164, 64.202785,12.93z"
,Cordoba,Slacklife-Cordoba,https://www.facebook.com/groups/340528569386668/,-31.424304,-64.174593,No,"https://www.google.com/maps/@-31.4287888,-64.2307958,12.93z"
,Corrientes,Slackline Corrientes,https://www.facebook.com/groups/1485878911676994/,-27.474303,-58.823238,No,"https://www.google.com/maps/place/Corrientes,+Argentina/@-27.4861815,-58.9324734,11z/data=!3m1!4b1!4m5!3m4!1s0x94456b79d5bed36b:0xfa999f1ef3b40646!8m2!3d-27.4692131!4d-58.8306349"
,La Plata,Slackline La Plata,https://www.facebook.com/groups/300277126679860/,-34.92049,-57.95357,Yes,"https://www.google.com/maps/@-34.92049,-57.95357,15z"
,Mar Del Plata,Slackline Mar del plata,https://www.facebook.com/groups/263647037088047/,-38.016803,-57.559327,Yes,"https://www.google.com/maps/place/Mar+del+Plata,+Buenos+Aires+Province,+Argentina/@-38.0174836,-57.7406195,11z/data=!3m1!4b1!4m5!3m4!1s0x9584d94d19d34209:0xdd9670804bfed126!8m2!3d-38.0054771!4d-57.5426106"
