Country/State,City/Region,Group Name,Link,Latitude,Longitude
ALBANIA,Countrywide,Slackline Albania,https://www.facebook.com/SlacklineAlbania/,,
,,,,,
ANDORRA,Countrywide,Slackline y Escalada Andorra,https://www.facebook.com/groups/267921633656258,,
,,,,,
ARGENTINA,Countrywide,Slackline Argentina,https://www.facebook.com/groups/35689976544/,,
,Countrywide,Highline Argentina,https://www.facebook.com/groups/260563367442328/,,
,Buenos Aires,Asociacion Slackline Buenos Aires,https://www.facebook.com/groups/190245777701831/,,
,Buenos Aires,CUBA Slackline Club Universitario de Buenos Aires,https://www.facebook.com/groups/642803799170087/,,
,Buenos Aires,Los Locos De La Cinta,https://www.facebook.com/groups/slacklinebuenosaires/about/,,
,Buenos Aires,Slackliners Buenos Aires Argentina,https://www.facebook.com/groups/668404283270421/,,
,Buenos Aires,Slackline Conurbano Sur,https://www.facebook.com/groups/1424585264281955/,,
,Cipolletti,SentiSlackline Cipolletti,https://www.facebook.com/pg/SlacklineCipolletti/,,
,Comodoro Rivadavia,Slackline sur (Comodoro Rivadavia/Rada Tilly),https://www.facebook.com/groups/423104901153463/,,
,Concordia,Slackline Concordia,https://www.facebook.com/groups/384574158405082/,,
,Cordoba,Asociacion de Slackline Córdoba,www.facebook.com/groups/1913347745606937/,,
,Cordoba,Patos Slackers (Cordoba slackline),https://www.facebook.com/groups/cuackslack/,,
,Cordoba,Slacklife-Cordoba,https://www.facebook.com/groups/340528569386668/,,
,Corrientes,Slackline Corrientes,https://www.facebook.com/groups/1485878911676994/,,
,La Plata,Slackline La Plata,https://www.facebook.com/groups/300277126679860/,,
,Mar Del Plata,Slackline Mar del plata,https://www.facebook.com/groups/263647037088047/,,
,Mendoza,Slackline Mendoza,https://www.facebook.com/groups/214698078570528/,,
,Mendoza,"Slackvida, Slackline Mendoza",https://www.facebook.com/groups/562129070529021/,,
,Neuquen,Comision directiva Asociacion Slackline Neuquén,https://www.facebook.com/groups/383745035346473/,,
,Neuquen,Slackline Neuquen,https://www.facebook.com/groups/slackline.neuquen/,,
,Posadas,Slackline Posadas,https://www.facebook.com/groups/slacklinePosadas/,,
,Rafaela,Rafael SlackLine!,https://www.facebook.com/groups/423020361067937/,,
,Ramos Mejia,SLACKLINE RAMOS MEJIA,https://www.facebook.com/groups/747979861913577/,,
,Rosario,Asociación de Slackline y Equilibrio Rosario,https://www.facebook.com/groups/equilibriorosario/,,
,Rosario,Grupo Slackline Rosario,https://www.facebook.com/groups/188057147896826/,,
,San Juan,Slackline San Juan,https://www.facebook.com/groups/753657284782745/,,
,San Martín de los Andes,Slacklife San Martín de los Andes,https://www.facebook.com/groups/1093423627350561,,
,San Rafael,San Rafael Slackline,https://www.facebook.com/groups/344228678953203/,,
,Santa Fe,Foco Na Fita - Slackline - Santa Fé Do Sul,https://www.facebook.com/groups/460393147480241/,,
,Santa Fe,SLACKLINE Santa Fe,https://www.facebook.com/groups/114003572018821/,,
,Tandil,SlackLine Tandil,https://www.facebook.com/groups/580376878642434/,,
,Tucumán,Slackline Tucumán,https://www.facebook.com/groups/enlacuerdafloja,,
,Villa Mercedes,Slackline Villa Mercedes,https://www.facebook.com/groups/285870781589794/,,
,Zarate,Slackline Zarate,https://www.facebook.com/SlacklineZarate/,,
,,,,,
ARMENIA,Yerevan,Step Slackliners,https://www.facebook.com/slackliners.of.armenia/,,
,,,,,
AUSTRALIA,Countrywide,Highlining Australia,https://www.facebook.com/groups/HighlineAustralia/,,
,Countrywide,Slackline Australia,https://www.facebook.com/slackline.australia/,,
,Adelaide,Adelaide Slackline,https://www.facebook.com/AdelaideSlackline/,,
,Adelaide,Adelaide Slackline Syndicate,https://www.facebook.com/groups/AdelaideSlackliners/,,
,Adelaide,The Adelaide Highline Fellowship,www.facebook.com/groups/400002323539842,,
,Alice Springs,Slackline Alice Springs,https://www.facebook.com/groups/1595938500625342,,
,Bargara,Slackline Bundaberg Bargara,www.facebook.com/groups/174018779675209,,
,Brisbane,Slackline Brisbane,https://www.facebook.com/groups/slacklinebrisbane/,,
,Campbelltown,Camden Fire Twirling + Slackline Community,https://www.facebook.com/groups/502982613083936/,,
,Darwin,Slackline Darwin,https://www.facebook.com/groups/332360046913669/,,
,Geelong,Slackline Geelong / Surfcoast / Bellarine,https://www.facebook.com/groups/478772522205146/,,
,Gold Coast,Slackline Australia Gold Coast Tribe,www.facebook.com/groups/slacklinegoldcoast,,
,Gold Coast,Slacklife Gold Coast,https://www.facebook.com/groups/715890878455440/,,
,Hobart,"Hobart Fire, juggling, flow, Acro And Slackline Jams",fb.com/groups/127086727989174/,,
,Melbourne,Melb Highline,https://www.facebook.com/groups/565432430204964/,,
,Melbourne,Slackline Melbourne,https://www.facebook.com/groups/slacklinemelbourne/,,
,Newcastle,Newcastle Australia Slacklining,https://www.facebook.com/groups/298207786900174/,,
,Perth,SLACKLINE PERTH AUSTRALIA <3,www.facebook.com/groups/202879596433035/,,
,Sydney,North Sydney Slackline,https://www.facebook.com/groups/1551373241857960/,,
,Sydney,Slackline Sydney,https://www.facebook.com/groups/SlacklineSydney/,,
,Sydney,Sydney Highline,https://www.facebook.com/groups/922279744523143/,,
,Sydney,The Bondi Slackliners,https://www.facebook.com/groups/172249732969223/,,
,Tasmania,Slackline Tasmania,https://www.facebook.com/groups/1712851322261180/,,
,Tasmania,Tasmanian University Slacklining Club,https://www.facebook.com/groups/2128337130737751,,
,Townsville,"Come play in Townsville! Hoops, slackline, poi and more!",www.fb.com/groups/180113565352407/,,
,Townsville,Slacklining Townsville,https://www.facebook.com/groups/285177561507600/,,
,Victoria,Alpine Vic Slackline,https://www.facebook.com/groups/160311701413736/,,
,Wollongong,Slackline Wollongong,https://www.facebook.com/groups/889032734481958/,,
,,,,,
AUSTRIA,Countrywide,National Association: Slackline Verband,www.facebook.com/SlacklineVerband,,
,Countrywide,SlackChat Deutsch,https://www.facebook.com/groups/481998168677508/,,
,Countrywide,Slackline.at,https://www.facebook.com/Slackline.at/,,
,Afritz am See,slackline-climbing afritz/see,www.facebook.com/groups/1437171973227792/,,
,Carinthia,Slacklineverein Teambalance,www.facebook.com/slacklineverein.teambalance,,
,Salzburg,"Jonglier, Acrobatic und Slackline Gruppe Salzburg",fb.com/groups/434823533345556,,
,Salzburg,Slackline Salzburg,https://www.facebook.com/slacklinesalzburg,,
,Steyr,slackline bande steyr,www.facebook.com/groups/150738058316052,,
,St. Pölten,Slackline-treff St.Pölten,www.facebook.com/groups/1582386848742309,,
,Tyrol,Tiroliners - Slacklinen in Tirol,https://www.facebook.com/Tiroliners,,
,Vienna,Vienna Slackliners (page),https://www.facebook.com/viennaslackliners/,,
,Vienna,Vienna Slackliners (group),https://www.facebook.com/groups/viennaslackliners/,,
